Player,Player Link,Maidens,Overs,Runs,Wickets,Economy,Inns,Opposition,Ground,Start Date
SM Boland,/ci/content/player/446548.html,0,10.0,68,2,6.80,1,South Africa,Cape Town,12 Oct 2016
SM Boland,/ci/content/player/446548.html,0,10.0,69,2,6.90,1,West Indies,Bridgetown,21 Jun 2016
JP Faulkner,/ci/content/player/270484.html,0,8.2,69,2,8.28,2,New Zealand,Canberra,6 Dec 2016
JW Hastings,/ci/content/player/228622.html,0,9.0,69,2,7.66,1,New Zealand,Birmingham,2 Jun 2017
JW Hastings,/ci/content/player/228622.html,0,10.0,79,2,7.90,2,South Africa,Durban,5 Oct 2016
GJ Maxwell,/ci/content/player/325026.html,1,2.0,3,1,1.50,1,West Indies,Providence,5 Jun 2016
MR Marsh,/ci/content/player/272450.html,1,3.0,5,1,1.66,1,West Indies,Providence,5 Jun 2016
TM Head,/ci/content/player/530011.html,0,2.0,5,1,2.50,1,Sri Lanka,Dambulla,31 Aug 2016
GJ Maxwell,/ci/content/player/325026.html,0,1.0,7,1,7.00,2,New Zealand,Auckland,28 Feb 2015
MA Starc,/ci/content/player/311592.html,0,4.0,11,1,2.75,1,India,Sydney,26 Jan 2015
JP Faulkner,/ci/content/player/270484.html,1,2.3,11,1,4.40,2,England,Perth,1 Feb 2015
AC Agar,/ci/content/player/505120.html,0,2.0,12,1,6.00,1,England,Manchester,13 Sep 2015
MJ Clarke,/ci/content/player/4578.html,0,5.0,14,1,2.80,2,Afghanistan,Perth,4 Mar 2015
MG Johnson,/ci/content/player/6033.html,1,4.0,16,1,4.00,1,Scotland,Hobart,14 Mar 2015
SR Watson,/ci/content/player/8180.html,0,3.0,18,1,6.00,1,Scotland,Hobart,14 Mar 2015
MR Marsh,/ci/content/player/272450.html,0,3.0,21,1,7.00,1,India,Sydney,26 Jan 2015
GJ Maxwell,/ci/content/player/325026.html,1,4.0,21,1,5.25,2,Afghanistan,Perth,4 Mar 2015
TM Head,/ci/content/player/530011.html,0,5.0,21,1,4.20,1,New Zealand,Auckland,30 Jan 2017
