Player,Player Link,Minutes,Runs,Balls Faced,Fours,Sixes,Strike Rate,Inns,Opposition,Ground,Start Date
MS Wade,/ci/content/player/230193.html,46,33,33,5,0,100.00,2,South Africa,Johannesburg,2 Oct 2016
JP Faulkner,/ci/content/player/270484.html,-,32*,25,1,1,128.00,2,India,Chennai,17 Sep 2017
AJ Finch,/ci/content/player/5334.html,49,32,32,3,0,100.00,2,England,Hobart,23 Jan 2015
MR Marsh,/ci/content/player/272450.html,55,32,45,4,0,71.11,1,West Indies,Bridgetown,26 Jun 2016
BJ Haddin,/ci/content/player/5560.html,23,31,14,5,0,221.42,1,England,Melbourne,14 Feb 2015
TM Head,/ci/content/player/530011.html,54,31,48,3,0,64.58,2,Sri Lanka,Colombo (RPS),24 Aug 2016
MR Marsh,/ci/content/player/272450.html,28,31,25,5,1,124.00,1,South Africa,Centurion,30 Sep 2016
NM Lyon,/ci/content/player/272279.html,51,30,31,4,0,96.77,2,South Africa,Providence,7 Jun 2016
SPD Smith,/ci/content/player/267192.html,34,30,33,5,0,90.90,2,Sri Lanka,Colombo (RPS),24 Aug 2016
AJ Finch,/ci/content/player/5334.html,32,30,29,3,1,103.44,2,Sri Lanka,Dambulla,28 Aug 2016
UT Khawaja,/ci/content/player/215155.html,76,30,49,2,0,61.22,1,Pakistan,Sydney,22 Jan 2017
MA Starc,/ci/content/player/311592.html,38,29*,23,2,2,126.08,2,New Zealand,Hamilton,5 Feb 2017
TM Head,/ci/content/player/530011.html,36,29,31,5,0,93.54,1,Pakistan,Melbourne,15 Jan 2017
SR Watson,/ci/content/player/8180.html,51,28,30,2,1,93.33,1,India,Sydney,26 Mar 2015
SPD Smith,/ci/content/player/267192.html,47,28,37,3,0,75.67,1,India,Sydney,23 Jan 2016
GJ Bailey,/ci/content/player/4451.html,27,28,18,1,1,155.55,1,South Africa,Durban,5 Oct 2016
MG Johnson,/ci/content/player/6033.html,14,27*,9,4,1,300.00,1,India,Sydney,26 Mar 2015
UT Khawaja,/ci/content/player/215155.html,41,27,38,5,0,71.05,2,West Indies,Providence,5 Jun 2016
GJ Bailey,/ci/content/player/4451.html,74,27,46,0,0,58.69,2,Sri Lanka,Colombo (RPS),24 Aug 2016
PJ Cummins,/ci/content/player/489889.html,57,27,35,1,2,77.14,2,New Zealand,Hamilton,5 Feb 2017
SR Watson,/ci/content/player/8180.html,25,26*,25,1,1,104.00,1,Ireland,Belfast,27 Aug 2015
GJ Maxwell,/ci/content/player/325026.html,34,26*,25,1,0,104.00,2,India,Brisbane,15 Jan 2016
MS Wade,/ci/content/player/230193.html,42,26,34,0,0,76.47,2,Sri Lanka,Colombo (RPS),21 Aug 2016
BJ Haddin,/ci/content/player/5560.html,16,25,9,4,1,277.77,1,Sri Lanka,Sydney,8 Mar 2015
SPD Smith,/ci/content/player/267192.html,37,25,33,3,0,75.75,2,England,Manchester,8 Sep 2015
GJ Bailey,/ci/content/player/4451.html,46,25,42,0,0,59.52,2,England,Manchester,8 Sep 2015
JP Faulkner,/ci/content/player/270484.html,69,25,49,1,0,51.02,2,New Zealand,Auckland,30 Jan 2017
DA Warner,/ci/content/player/219889.html,-,25,28,2,0,89.28,2,India,Chennai,17 Sep 2017
DA Warner,/ci/content/player/219889.html,41,24,22,3,0,109.09,2,India,Melbourne,18 Jan 2015
AJ Finch,/ci/content/player/5334.html,38,24,24,3,0,100.00,1,Sri Lanka,Sydney,8 Mar 2015
SR Watson,/ci/content/player/8180.html,36,24,23,4,0,104.34,2,Scotland,Hobart,14 Mar 2015
DA Warner,/ci/content/player/219889.html,41,24,23,3,0,104.34,2,Pakistan,Adelaide,20 Mar 2015
MS Wade,/ci/content/player/230193.html,19,24,14,3,0,171.42,1,South Africa,Basseterre,11 Jun 2016
DA Warner,/ci/content/player/219889.html,43,24,29,4,0,82.75,1,New Zealand,Sydney,4 Dec 2016
CP Tremain,/ci/content/player/553800.html,37,23*,28,2,1,82.14,1,South Africa,Port Elizabeth,9 Oct 2016
TM Head,/ci/content/player/530011.html,23,23*,25,4,0,92.00,2,Pakistan,Perth,19 Jan 2017
MR Marsh,/ci/content/player/272450.html,31,23,20,3,0,115.00,1,England,Melbourne,14 Feb 2015
SR Watson,/ci/content/player/8180.html,44,23,30,2,0,76.66,1,New Zealand,Auckland,28 Feb 2015
GJ Maxwell,/ci/content/player/325026.html,17,23,14,3,1,164.28,1,India,Sydney,26 Mar 2015
GJ Bailey,/ci/content/player/4451.html,22,23,16,1,1,143.75,1,England,Southampton,3 Sep 2015
GJ Bailey,/ci/content/player/4451.html,23,23,21,3,0,109.52,2,India,Melbourne,17 Jan 2016
JW Hastings,/ci/content/player/228622.html,25,23,19,1,2,121.05,2,South Africa,Johannesburg,2 Oct 2016
GJ Bailey,/ci/content/player/4451.html,61,23,51,1,0,45.09,1,New Zealand,Melbourne,9 Dec 2016
GJ Maxwell,/ci/content/player/325026.html,34,23,26,2,1,88.46,1,Pakistan,Melbourne,15 Jan 2017
SPD Smith,/ci/content/player/267192.html,37,22*,25,1,0,88.00,2,Bangladesh,The Oval,5 Jun 2017
DA Warner,/ci/content/player/219889.html,34,22,18,3,0,122.22,1,England,Melbourne,14 Feb 2015
JA Burns,/ci/content/player/326632.html,40,22,26,4,0,84.61,1,England,Lord's,5 Sep 2015
GJ Bailey,/ci/content/player/4451.html,44,22,44,2,0,50.00,1,West Indies,Bridgetown,26 Jun 2016
SE Marsh,/ci/content/player/6683.html,29,22,22,4,0,100.00,2,New Zealand,Hamilton,5 Feb 2017
DA Warner,/ci/content/player/219889.html,11,21*,6,2,2,350.00,2,Scotland,Hobart,14 Mar 2015
JP Faulkner,/ci/content/player/270484.html,47,21*,25,1,0,84.00,2,India,Melbourne,17 Jan 2016
JP Faulkner,/ci/content/player/270484.html,20,21,12,3,1,175.00,1,India,Sydney,26 Mar 2015
SPD Smith,/ci/content/player/267192.html,51,21,38,1,0,55.26,1,Ireland,Belfast,27 Aug 2015
AJ Finch,/ci/content/player/5334.html,30,21,23,3,0,91.30,2,India,Melbourne,17 Jan 2016
SPD Smith,/ci/content/player/267192.html,56,21,35,1,0,60.00,2,New Zealand,Hamilton,8 Feb 2016
SPD Smith,/ci/content/player/267192.html,61,21,36,2,0,58.33,1,South Africa,Port Elizabeth,9 Oct 2016
DA Warner,/ci/content/player/219889.html,29,21,25,4,0,84.00,1,England,Birmingham,10 Jun 2017
BJ Haddin,/ci/content/player/5560.html,10,20*,9,2,1,222.22,1,Afghanistan,Perth,4 Mar 2015
GJ Maxwell,/ci/content/player/325026.html,34,20,23,1,1,86.95,2,India,Melbourne,18 Jan 2015
AJ Finch,/ci/content/player/5334.html,14,20,10,3,1,200.00,2,Scotland,Hobart,14 Mar 2015
GJ Maxwell,/ci/content/player/325026.html,27,20,24,3,0,83.33,2,New Zealand,Auckland,30 Jan 2017
GJ Maxwell,/ci/content/player/325026.html,44,20,31,2,0,64.51,1,England,Birmingham,10 Jun 2017
KW Richardson,/ci/content/player/272262.html,13,19,13,1,2,146.15,2,New Zealand,Auckland,3 Feb 2016
AJ Finch,/ci/content/player/5334.html,33,19,30,4,0,63.33,2,West Indies,Providence,5 Jun 2016
DA Warner,/ci/content/player/219889.html,36,19,16,3,0,118.75,2,Sri Lanka,Dambulla,31 Aug 2016
MR Marsh,/ci/content/player/272450.html,24,19,19,4,0,100.00,2,South Africa,Johannesburg,2 Oct 2016
AJ Finch,/ci/content/player/5334.html,57,19,40,3,0,47.50,2,South Africa,Cape Town,12 Oct 2016
AJ Finch,/ci/content/player/5334.html,53,19,34,2,0,55.88,1,New Zealand,Canberra,6 Dec 2016
JP Faulkner,/ci/content/player/270484.html,32,19,21,2,0,90.47,1,Pakistan,Melbourne,15 Jan 2017
AJ Finch,/ci/content/player/5334.html,36,19,27,3,0,70.37,2,Bangladesh,The Oval,5 Jun 2017
JP Faulkner,/ci/content/player/270484.html,19,18*,12,2,0,150.00,1,Pakistan,Adelaide,26 Jan 2017
SPD Smith,/ci/content/player/267192.html,14,18,17,3,0,105.88,2,New Zealand,Auckland,3 Feb 2016
TM Head,/ci/content/player/530011.html,25,18,18,2,0,100.00,1,South Africa,Centurion,30 Sep 2016
DA Warner,/ci/content/player/219889.html,21,18,16,1,1,112.50,2,New Zealand,Birmingham,2 Jun 2017
MC Henriques,/ci/content/player/5961.html,12,18,14,4,0,128.57,2,New Zealand,Birmingham,2 Jun 2017
MS Wade,/ci/content/player/230193.html,16,17*,8,1,1,212.50,1,South Africa,Durban,5 Oct 2016
GJ Maxwell,/ci/content/player/325026.html,16,17,12,3,0,141.66,2,England,Manchester,8 Sep 2015
MR Marsh,/ci/content/player/272450.html,32,17,24,0,0,70.83,1,England,Leeds,11 Sep 2015
MR Marsh,/ci/content/player/272450.html,24,17,14,3,0,121.42,2,India,Melbourne,17 Jan 2016
MS Wade,/ci/content/player/230193.html,49,17,26,1,0,65.38,2,New Zealand,Hamilton,8 Feb 2016
UT Khawaja,/ci/content/player/215155.html,24,17,17,1,0,100.00,2,West Indies,Bridgetown,21 Jun 2016
MA Starc,/ci/content/player/311592.html,26,17,25,1,1,68.00,1,West Indies,Bridgetown,26 Jun 2016
GJ Bailey,/ci/content/player/4451.html,35,17,25,0,1,68.00,1,New Zealand,Sydney,4 Dec 2016
UT Khawaja,/ci/content/player/215155.html,39,17,21,1,0,80.95,1,Pakistan,Melbourne,15 Jan 2017
MC Henriques,/ci/content/player/5961.html,17,17,19,3,0,89.47,1,England,Birmingham,10 Jun 2017
JP Faulkner,/ci/content/player/270484.html,15,16*,6,2,1,266.66,2,Scotland,Hobart,14 Mar 2015
SR Watson,/ci/content/player/8180.html,27,16,20,2,0,80.00,2,England,Sydney,16 Jan 2015
BJ Haddin,/ci/content/player/5560.html,15,16,8,3,0,200.00,2,England,Sydney,16 Jan 2015
DA Warner,/ci/content/player/219889.html,19,16,14,3,0,114.28,2,New Zealand,Hamilton,8 Feb 2016
MR Marsh,/ci/content/player/272450.html,27,16,16,2,0,100.00,1,West Indies,Basseterre,13 Jun 2016
AJ Finch,/ci/content/player/5334.html,20,16,11,3,0,145.45,2,West Indies,Bridgetown,21 Jun 2016
