Player,Player Link,Minutes,Runs,Balls Faced,Fours,Sixes,Strike Rate,Inns,Opposition,Ground,Start Date
Mohammed Shami,/ci/content/player/481896.html,11,1*,1,0,0,100.00,2,Australia,Sydney,26 Mar 2015
B Kumar,/ci/content/player/326016.html,3,1*,1,0,0,100.00,2,South Africa,Kanpur,11 Oct 2015
J Yadav,/ci/content/player/447587.html,2,1*,1,0,0,100.00,1,New Zealand,Visakhapatnam,29 Oct 2016
B Kumar,/ci/content/player/326016.html,14,1*,8,0,0,12.50,2,Pakistan,The Oval,18 Jun 2017
MS Dhoni,/ci/content/player/28081.html,-,1*,1,0,0,100.00,2,Sri Lanka,Colombo (RPS),3 Sep 2017
S Dhawan,/ci/content/player/28235.html,9,1,5,0,0,20.00,1,England,Brisbane,20 Jan 2015
SK Raina,/ci/content/player/33335.html,4,1,3,0,0,33.33,1,England,Brisbane,20 Jan 2015
Mohammed Shami,/ci/content/player/481896.html,13,1,7,0,0,14.28,1,England,Brisbane,20 Jan 2015
SK Raina,/ci/content/player/33335.html,8,1,5,0,0,20.00,1,England,Perth,30 Jan 2015
AR Patel,/ci/content/player/554691.html,7,1,5,0,0,20.00,1,England,Perth,30 Jan 2015
V Kohli,/ci/content/player/253802.html,11,1,13,0,0,7.69,2,Australia,Sydney,26 Mar 2015
V Kohli,/ci/content/player/253802.html,9,1,4,0,0,25.00,2,Bangladesh,Dhaka,18 Jun 2015
M Vijay,/ci/content/player/237095.html,14,1,9,0,0,11.11,1,Zimbabwe,Harare,10 Jul 2015
AR Patel,/ci/content/player/554691.html,2,1,2,0,0,50.00,1,Zimbabwe,Harare,12 Jul 2015
B Kumar,/ci/content/player/326016.html,13,1,8,0,0,12.50,2,South Africa,Mumbai,25 Oct 2015
R Ashwin,/ci/content/player/26421.html,4,1,2,0,0,50.00,1,Australia,Brisbane,15 Jan 2016
A Mishra,/ci/content/player/31107.html,3,1,3,0,0,33.33,2,New Zealand,Delhi,20 Oct 2016
S Dhawan,/ci/content/player/28235.html,18,1,10,0,0,10.00,2,England,Pune,15 Jan 2017
AM Rahane,/ci/content/player/277916.html,8,1,6,0,0,16.66,2,England,Kolkata,22 Jan 2017
R Ashwin,/ci/content/player/26421.html,5,1,3,0,0,33.33,2,England,Kolkata,22 Jan 2017
R Ashwin,/ci/content/player/26421.html,11,1,3,0,0,33.33,2,Pakistan,The Oval,18 Jun 2017
JJ Bumrah,/ci/content/player/625383.html,10,1,9,0,0,11.11,2,Pakistan,The Oval,18 Jun 2017
Mohammed Shami,/ci/content/player/481896.html,-,1,2,0,0,50.00,2,West Indies,North Sound,2 Jul 2017
KM Jadhav,/ci/content/player/290716.html,-,1,3,0,0,33.33,2,Sri Lanka,Pallekele,24 Aug 2017
UT Yadav,/ci/content/player/376116.html,2,0*,0,0,0,-,1,England,Brisbane,20 Jan 2015
B Kumar,/ci/content/player/326016.html,1,0*,0,0,0,-,1,Zimbabwe,Harare,12 Jul 2015
A Mishra,/ci/content/player/31107.html,1,0*,0,0,0,-,2,South Africa,Kanpur,11 Oct 2015
MM Sharma,/ci/content/player/537119.html,16,0*,1,0,0,0.00,1,South Africa,Indore,14 Oct 2015
MM Sharma,/ci/content/player/537119.html,6,0*,4,0,0,0.00,2,South Africa,Mumbai,25 Oct 2015
UT Yadav,/ci/content/player/376116.html,1,0*,0,0,0,-,1,Australia,Brisbane,15 Jan 2016
Gurkeerat Singh,/ci/content/player/537124.html,2,0*,0,0,0,-,2,Australia,Sydney,23 Jan 2016
B Kumar,/ci/content/player/326016.html,13,0*,1,0,0,0.00,2,England,Kolkata,22 Jan 2017
JJ Bumrah,/ci/content/player/625383.html,2,0*,0,0,0,-,2,England,Kolkata,22 Jan 2017
RA Jadeja,/ci/content/player/234675.html,-,0*,0,0,0,-,1,Sri Lanka,The Oval,8 Jun 2017
Kuldeep Yadav,/ci/content/player/559235.html,-,0*,0,0,0,-,1,Australia,Chennai,17 Sep 2017
AR Patel,/ci/content/player/554691.html,2,0,2,0,0,0.00,1,Australia,Melbourne,18 Jan 2015
B Kumar,/ci/content/player/326016.html,1,0,1,0,0,0.00,1,Australia,Melbourne,18 Jan 2015
AR Patel,/ci/content/player/554691.html,2,0,1,0,0,0.00,1,England,Brisbane,20 Jan 2015
AM Rahane,/ci/content/player/277916.html,3,0,1,0,0,0.00,1,Pakistan,Adelaide,15 Feb 2015
RG Sharma,/ci/content/player/34102.html,13,0,6,0,0,0.00,1,South Africa,Melbourne,22 Feb 2015
MM Sharma,/ci/content/player/537119.html,1,0,1,0,0,0.00,2,Australia,Sydney,26 Mar 2015
UT Yadav,/ci/content/player/376116.html,5,0,5,0,0,0.00,2,Australia,Sydney,26 Mar 2015
R Ashwin,/ci/content/player/26421.html,1,0,1,0,0,0.00,2,Bangladesh,Dhaka,18 Jun 2015
RG Sharma,/ci/content/player/34102.html,1,0,2,0,0,0.00,1,Bangladesh,Dhaka,21 Jun 2015
AT Rayudu,/ci/content/player/33141.html,5,0,3,0,0,0.00,1,Bangladesh,Dhaka,21 Jun 2015
AR Patel,/ci/content/player/554691.html,1,0,1,0,0,0.00,1,Bangladesh,Dhaka,21 Jun 2015
RV Uthappa,/ci/content/player/35582.html,6,0,3,0,0,0.00,1,Zimbabwe,Harare,10 Jul 2015
SK Raina,/ci/content/player/33335.html,6,0,5,0,0,0.00,1,South Africa,Indore,14 Oct 2015
SK Raina,/ci/content/player/33335.html,11,0,2,0,0,0.00,2,South Africa,Rajkot,18 Oct 2015
Harbhajan Singh,/ci/content/player/29264.html,2,0,1,0,0,0.00,1,South Africa,Chennai,22 Oct 2015
B Kumar,/ci/content/player/326016.html,1,0,1,0,0,0.00,1,South Africa,Chennai,22 Oct 2015
Harbhajan Singh,/ci/content/player/29264.html,6,0,4,0,0,0.00,2,South Africa,Mumbai,25 Oct 2015
