batid,bowlid,comm,inns,oa,ou,ovr,r,rt,x,y,z
629074,5961,"back of a length on middle, punched out to midwicket",1,13.2,13.02,13.2,0,0,224,188,3
629074,5961,"short and outside off, dabbed away past backward point",1,13.3,13.03,13.3,1,1,56,78,7
300628,5961,"short on middle, rides the bounce, and helps it through backward square leg",1,13.4,13.04,13.4,1,1,249,30,1
629074,5961,"banged in short on middle, does not climb much. The batsman rises and pats it down like a master does his gambolling puppy",1,13.5,13.05,13.5,1,1,258,133,2
300628,5961,"back of a length and outside off, pushed to cover as Bailey swoops down on the ball and ensure that's a dot",1,13.6,13.06,13.6,0,0,147,187,6
629074,379504,"flatter on middle and leg, straight ball, sweeps it away behind square leg. Finch runs to his right and swats the ball into the field of play with a slide, even as he touched the ad boards",1,14.1,14.01,14.1,2,2,327,118,2
629074,379504,"tossed up, pushed down the ground",1,14.2,14.02,14.2,1,1,275,278,4
300628,379504,dabbed to extra cover,1,14.3,14.03,14.3,0,0,159,188,5
300628,379504,"drags this legbreak short and outside off, on the back foot, punching to extra cover",1,14.4,14.04,14.4,0,0,146,191,6
300628,379504,"lobbed up outside off, straight ball, tapped to the covers again",1,14.5,14.05,14.5,0,0,141,190,6
300628,379504,"flighted legbreak just a shade outside off, Chandimal steps forward and smothers it to cover",1,14.6,14.06,14.6,0,0,149,176,6
629074,270484,"back of a length at off stump, pushed out towards point",1,15.1,15.01,15.1,0,0,156,153,7
629074,270484,"back of a length and cuts away outside off, beats the outside edge",1,15.2,15.02,15.2,0,0,0,0,0
629074,270484,"looks like a cutter from Faulkner, slices an outside edge through cover",1,15.3,15.03,15.3,1,1,71,180,6
300628,270484,this explodes from a length and surprises Chandi. Was that the back of the hand slower ball? No he rolls his fingers across it. From the front of the hand. Pitches on middle and kicks at Chandi.  <strong>Pings the glove</strong> and rolls to leg,1,15.4,15.04,15.4,0,0,210,156,2
300628,270484,"shorter and outside off, cut away for one",1,15.5,15.05,15.5,1,1,46,136,7
629074,270484,"slower one again, full on middle and leg, driven down to long-on",1,15.6,15.06,15.6,1,1,265,301,4
629074,379504,"lobs this up on off and gets a hint of turn, dabbed with soft hands to cover on the front foot",1,16.1,16.01,16.1,0,0,159,182,6
629074,379504,"slides on with the arm on off, tapped towards point now",1,16.2,16.02,16.2,0,0,161,175,6
629074,379504,"flatter and quicker legbreak, Mendis jabs and keeps it out off an inside edge",1,16.3,16.03,16.3,0,0,169,184,5
629074,379504,"Zampa errs short and outside off, Mendis crouches and pulls over midwicket. Finch into the fray again",1,16.4,16.04,16.4,2,2,329,236,3
629074,379504,"looped up and outside off, stopped at Mendis. Check-pushed down to long-off",1,16.5,16.05,16.5,1,1,96,301,5
300628,379504,"slides on middle and leg, Chandi stands tall and forces it to midwicket",1,16.6,16.06,16.6,0,0,208,194,4
629074,270484,"length ball on off, Mendis presses forward and bunts it down towards mid-off",1,17.1,17.01,17.1,0,0,148,218,5
629074,270484,"<strong>dies a couple of centimetres in front of Bailey at short extra cover</strong>. Faulkner has his hands on his head. Faulkner sucks pace off this outside off, Mendis searches for a leg-side flick, plays early. The front edge does not carry despite Bailey throwing himself in front",1,17.2,17.02,17.2,0,0,142,189,6
629074,270484,"length and outside off, eased to point",1,17.3,17.03,17.3,0,0,125,150,7
629074,270484,"front of the hand cutter outside off, grips in the surface, and leaves Mendis. Beaten past the outside edge",1,17.4,17.04,17.4,0,0,0,0,0
629074,270484,"looks like another slower ball, poked down the ground",1,17.5,17.05,17.5,0,0,170,192,5
629074,270484,"full on leg stump, Mendis attempts another pick-up shot. Lofts the ball over from midwicket. Head chases the ball manfully but only comes second in the race. He couldn't flick the ball back into the field of play",1,17.6,17.06,17.6,4,4,351,234,3
300628,379504,"shorter and outside off, square-cut away for one",1,18.1,18.01,18.1,1,1,24,202,6
629074,379504,"full and outside off, punched to extra cover",1,18.2,18.02,18.2,0,0,130,196,6
629074,379504,"might have been a googly, Mendis prods from the crease and inside-edges it past the leg stump",1,18.3,18.03,18.3,0,0,211,125,1
629074,379504,"tossed up, full on middle, goes for the slog-sweep and miscues it in the air. Midwicket runs back, the man in the deep rushes in, mid-on moves to his right. But the ball eludes all three. Mendis living dangerously",1,18.4,18.04,18.4,2,2,303,259,3
629074,379504,"straight delivery, played back to the bowler",1,18.5,18.05,18.5,0,0,185,187,4
629074,379504,"flatter on leg stump, firmly swept away now through backward square leg",1,18.6,18.06,18.6,1,1,315,98,2
629074,270484,"full and outside off, opens the face, drives, and finds the gap at extra cover",1,19.1,19.01,19.1,1,1,34,221,6
